Rack:Tube,Solution Label,Timestamp,Al 237.312 nm ppm,Al 308.215 nm ppm,Ba 233.527 nm ppm,Ca 315.887 nm ppm,Ca 422.673 nm ppm,Cr 205.560 nm ppm,Cr 267.716 nm ppm,Cu 324.754 nm ppm,Fe 238.204 nm ppm,Fe 259.940 nm ppm,K 766.491 nm ppm,K 769.897 nm ppm,Mg 279.553 nm ppm,Mg 280.270 nm ppm,Mn 257.610 nm ppm,Mn 293.931 nm ppm,Na 588.995 nm ppm,Na 589.592 nm ppm,Ni 216.555 nm ppm,Ni 221.648 nm ppm,P 213.618 nm ppm,P 214.914 nm ppm,Sr 421.552 nm ppm,Sr 460.733 nm ppm,Ti 334.941 nm ppm,Ti 336.122 nm ppm,V 326.769 nm ppm,Zn 202.548 nm ppm,Zn 213.857 nm ppm
01:10,Standard 9,22-01-2025 16:22,,,0.61,,,0.61,0.61,0.61,,,,,,,,,,,0.61,0.61,,,0.61,0.61,,,0.61,0.61,0.61
01:11,Standard 10,22-01-2025 16:24,,,1.24,,,1.24,1.24,1.24,,,,,,,,,,,1.24,1.24,,,1.24,1.24,,,--,1.24,1.24
01:12,Standard 11,22-01-2025 16:26,,,2.46,,,2.46,2.46,2.46,,,,,,,,,,,2.46,2.46,,,2.46,2.46,,,2.46,2.46,2.46
01:13,Standard 12,22-01-2025 16:28,,,4.96,,,4.96,4.96,4.96,,,,,,,,,,,4.96,4.96,,,4.96,4.96,,,4.96,4.96,4.96
02:01,BLK 1,22-01-2025 16:30,1.35,-1.97 u,0.02 u,5.28,5.32,0.1,0.09,0.18,1.06,1.04,0.23,-6.05 u,0.27,0.28,0.11,0.15,-1.26 u,-0.36 u,-0.02 u,-0.01 u,-0.56 u,-0.06 u,0.06,0.03 u,0.03,0.02,3.49 u,0.12,0.09
02:02,BLK 2,22-01-2025 16:32,1.01,-0.20 u,0.01 u,6.15,6,0.03,0.07,0.2,1.09,1.07,-0.23 u,-6.56 u,0.46,0.46,0.04,0.07,-1.09 u,-0.27 u,0.05 u,0.03 u,-0.01 u,0.32 u,0.06,0.11,0.02,0.01,-1.27 u,0.11,0.11
02:03,BLK 3,22-01-2025 16:34,1.85,0.15,-0.02 u,3.88,3.66,0.02 u,0.06,0.22,1.1,1.08,0.13,-6.98 u,0.31,0.31,0.04,0.05,-0.81 u,-0.08 u,-0.04 u,-0.08 u,-0.24 u,-0.03 u,0.05,0.04,0.03,0.01,-6.62 u,0.24,0.23
01:15,QC_MES_5 ppm,22-01-2025 16:36,5.08,5.05,0,5.11,5.35,0,0,0.00 u,0.51 Q,0.50 Q,5.42,5.49,4.57,4.81,5.03,5.07,5.16,5.34,0,0,5.1,5.02,0,0.00 u,4.99,4.96,0.25,0,0
01:16,QC_WCS_2.5 ppm,22-01-2025 16:38,2.53,2.56,2.45,-0.02 u,-0.01 u,2.48,2.44,2.44,0,0,24.63,26.86,0,0,2.46,2.44,-0.01 u,0.08,2.49,2.46,0.01,0.03,2.43,2.68,0,0.00 u,2.47,2.43,2.47
01:17,SJS_STD,22-01-2025 16:40,76341.33,74386.81,1015.81,19631.17,19691.34,107.48,105.68,41.72,3539.37,3478.75,20353.63,20046.36,14571.27,14568.83,564,554.68,11798.7,11725.69,82.24,74.85,578.71,737.67,253.13,234.24,3375.77,3346.39,17716.19,104.54,108.13
02:04,MCS 1283,22-01-2025 16:42,60912.26,60412.81,470.82,22747.43,23335.88,59.98,59.09,44.84,2730.34,2696.53,15494.34,15457.85,7338.06,7329.7,412.88,410.68,15597.69,15812.82,39.43,35.25,273.55,361.26,183.8,184.53,3281.8,3252.86,16173.47,46.18,48.7
02:05,MCS 1284,22-01-2025 16:44,9219.66,9040.78,153.23,427.53,441.1,11.37,11.4,3.46,307.84,299.7,5430.7,5461.24,270.21,266.16,59.73,58.64,830.09,838.8,4.96,5.49,37.4,50.18,20.47,19.56,451.8,447.8,1383.57,4.95,4.91
02:06,MCS 1285,22-01-2025 16:46,37836.15,37163.51,502.84,2200.56,2260.9,40.01,40.4,28.36,1404.33,1373.85,19800.55,19756.29,1006.8,989.7,801.26,796.59,4293.74,4347.34,63.54,60.48,140.73,196.28,91.27,87.17,1686.2,1669.99,5056.21,25.91,26.19
02:07,MCS 1286,22-01-2025 16:48,110596.25,110744.97,275.02,7362.21,7678.86,395.71,392.4,123.58,11602.89,11472.22,13698.43,13663.18,7442.93,7461.33,990.26,985.29,2700.66,2685.49,139.7,131,1319.87,1439.19,49.97,47.97,11007.07,10936.15,73127.25 o,96.06,106.64
02:08,MCS 1287,22-01-2025 16:50,98505.42,98396.48,262.88,14902.49,15463.47,251.72,245.27,131.74,10564.09,10368.11,12637.13,12606.6,9720.69,9798.55,1144.64,1137.47,4554.46,4602.91,126.43,116.81,1076.06,1166.93,70.21,70.09,11577.74,11507.05,58564.82 o,93.67,102.49
02:09,MCS 1288,22-01-2025 16:52,58380.03,57986.74,732.14,1851.41,1966.41,59.84,58.71,18.93,1977.18,1943.06,31136.87,31817.64,2105.27,2095.52,363.28,360.96,3821.31,3851.92,31.8,31.52,454.4,517.24,110.55,109.4,2163.21,2144.44,8651.14,31.1,32.96
02:10,MCS 1289,22-01-2025 16:54,52373.82,52129.44,830.98,6654.53,7021.78,77.91,77.09,32.8,2405.67,2368.37,30423.92,31102.61,3872.69,3874.67,377.8,375.17,5201.83,5242.2,45.6,44.16,342.31,382.51,124.91,125.6,2794.44,2769.4,11572.37,31.74,33.29
02:11,MCS 1290,22-01-2025 16:56,42996.84,42568.88,752.91,2024.25,2140.57,44.5,43.34,14.51,1061.77,1044.17,28347.07,28919.43,1028.73,1012.31,80.24,79.46,5343.61,5384.59,16.89,18.86,180.51,195.55,111.99,110.82,1356.46,1343.44,5440.4,17.69,17.62
02:12,MCS 1291,22-01-2025 16:58,98391.91,98633.42,273.68,1994.31,2111.58,248.93,243.67,102.18,11051.73,10901.2,13823.55,13895.97,5534.01,5550.04,767.4,761.64,2168.61,2163.33,116.78,105.63,1162.89,1255.07,39,38.36,8214.8,8154.03,54413.93 o,90.62,99.91
02:13,MCS 1292,22-01-2025 17:00,96333.52,97023.14,190.53,1752.87,1865.64,552.18,543.08,150.42,23344.62 o,23177.20 o,8525.74,8504.31,3274.92,3270.59,1241.21,1234.09,1247.71,1244.83,157.94,133.05,1789.12,1982.88,25.42,23.86,10781.77,10710.75,128067.50 o,79.47,96.62
01:15,QC_MES_5 ppm,22-01-2025 17:02,5.14,5.07,0,5.09,5.37,0,0,0,0.51 Q,0.50 Q,5.41,5.49,4.58,4.82,5.01,5.07,5.11,5.32,0,0,5.1,5.02,0,0.00 u,4.99,4.96,0.34,0,0
01:16,QC_WCS_2.5 ppm,22-01-2025 17:04,2.55,2.58,2.46,-0.02 u,-0.01 u,2.48,2.44,2.43,0,0,24.63,26.92,0,0,2.45,2.45,-0.01 u,0.09,2.51,2.46,0.01,0.04,2.44,2.71,0,0.00 u,2.39,2.43,2.46
01:17,SJS_STD,22-01-2025 17:06,77221.8,74552.67,1015.76,19582.74,19740.32,106.83,109.71,46.46,3554.21,3478.51,20332.34,19908.86,14565.73,14538.69,565.38,558.33,11763.64,11697.48,82.64,79.6,616.15,546.26,254.15,238.95,3377.15,3347.85,19436.26,105.35,106.51
02:14,MCS 1293,22-01-2025 17:08,101646.1,102220.14,258.75,2930.99,3097.82,504.93,496.21,124.39,16629.22,16494.93,12225.59,12251.22,4594.13,4591.89,1125.64,1119.2,1913.13,1907.25,136.79,122.03,1154.41,1277.44,42.12,42.45,10817.52,10749.01,110935.19 o,79.91,92.86
02:15,MCS 1294,22-01-2025 17:10,67445.72,67565.01,615.54,4501.42,4815.28,106.71,104.59,45.96,2999.42,2949.72,36289.1,37501.79,3526.43,3519.35,565.87,561.59,5278.74,5328.39,54.73,52.47,362.69,408.82,89.61,90.74,3939.27,3904.56,11782.28,36.5,39.76
02:16,MCS 1295,22-01-2025 17:12,71567.94,71364.39,419.34,5506.59,5848.14,78.47,78.07,44.49,3596.57,3517.88,29300.35,29975.1,4522.45,4512.99,776.35,769.28,5312.21,5354.71,54.19,51.79,221.91,268.01,76.49,76.46,4150.06,4114.13,17179.45,43.78,47.49
02:17,MCS 1296,22-01-2025 17:14,77487.25,77641.71,541.28,2715.99,2901.81,81.12,79.8,54.37,3984.66,3911.13,32231.15,33418.98,5136.02,5134.2,611.68,605.47,3608.28,3631.14,51.04,47.18,392.24,434.37,82.66,82.51,4125.68,4095.96,16760.35,52.97,56.92
02:18,MCS 1297,22-01-2025 17:16,55205.12,55642.77,1093.21,605.06,692.55,50.73,49.33,8.57,438.11,428.63,62328.72,67157.38,545.75,536.89,67.71,67.02,4398.28,4507.69,22.75,24.2,135.13,145.66,159.7,167.07,523.62,518.33,1136.98,12.76,12.93
02:19,MCS 1298,22-01-2025 17:18,44158.89,44035.1,332.93,696.88,756.25,46.25,45.39,17.1,1751.62,1723.69,24287.71,25307.27,1244.62,1233.67,130.56,129.03,2185.24,2208.09,27.55,25.55,112.04,157.48,42.73,42.53,1471.7,1458.43,7715.97,23.67,25.11
02:20,MCS 1299,22-01-2025 17:20,53761.83,53728.16,517.45,3783.59,4075.03,51.16,50.83,26.52,1821.62,1798.48,31768.42,32964.88,2149.43,2147.44,367.53,365.33,7897.29,8011.45,26.17,25.31,221.52,262.2,89.17,91.39,1915.8,1899.8,7556.95,30.58,32.63
02:21,MCS 1300,22-01-2025 17:22,66850.32,66789.88,477.73,2178.38,2340.64,90.4,87.91,52.28,4041.02,3963.77,29922.87,30771.83,2484.73,2477.44,782.24,777.12,3343.69,3400.19,56.54,51.8,376.76,440.07,66.65,66.13,4863.48,4865.66,16429.87,861.22,890.13
02:22,MCS 1301,22-01-2025 17:24,54516.69,54218.93,557.49,5291.2,5652.08,55.41,55.24,32,2400.01,2348.6,31546.74,32692.69,3612.94,3620.48,373.06,370.51,4036.03,4096.13,28.97,29.02,213.7,270.28,84.77,84.86,3295,3267.25,9980.48,31.55,33.77
02:23,MCS 1302,22-01-2025 17:26,76398.38,75803.75,336.79,3277.38,3416.38,110.57,109.86,59.58,4780.85,4692.76,17387.6,17403.65,6050.89,6029.06,912.42,906.6,2922.12,2910.25,75.67,69.16,484.6,582.83,53.33,50.92,5626.74,5598.24,23096.91,67.69,72.68
01:15,QC_MES_5 ppm,22-01-2025 17:28,5.14,5.09,0,5.09,5.31,0,0,0,0.51 Q,0.50 Q,5.42,5.51,4.58,4.81,5.01,5.08,5.11,5.31,0,0.00 u,5.08,4.97,0,0.00 u,5.03,4.99,0.22,0,0
01:16,QC_WCS_2.5 ppm,22-01-2025 17:30,2.57,2.59,2.46,-0.04 u,-0.01 u,2.48,2.44,2.47,0,0,24.66,27.01,0,0,2.45,2.46,-0.01 u,0.09,2.51,2.45,0.02,0.03,2.46,2.72,0,0.00 u,2.48,2.41,2.47
01:17,SJS_STD,22-01-2025 17:32,77708.89,74886.82,1014.66,19567.12,19821.7,110.53,107.2,51.47,3518.15,3440.66,20381.27,19973.89,14608.8,14532.88,567.42,559.46,11758.99,11693.77,81.27,82.74,605.62,767.83,255.68,235.81,3394.74,3362.22,17088.99,105.22,106.99
02:24,MCS 1303,22-01-2025 17:34,66684.01,66705.17,427.42,1226.7,1328.01,69.54,68.42,28.95,2829.38,2768.84,34603.49,36163.9,2467.53,2453.96,293.16,289.89,4316.2,4381.38,42.49,39.3,294.23,343.14,53.28,53.22,2988.33,2960.17,12644.04,39.61,42.61
02:25,MCS 1304,22-01-2025 17:36,72418.48,72104.18,296.31,1306.92,1396.38,92.11,89.69,32.78,3551.73,3490.43,22066.37,22372.97,4224.39,4222.88,509.23,505.37,2700.37,2713.4,55.02,49.11,270.86,330.44,47.71,46.57,4155.11,4118.19,16068.55,50.06,54.08
02:26,MCS 1305,22-01-2025 17:38,66739.85,66753.27,477.57,1424.02,1544.4,64.69,63.99,30.1,3933.8,3840.05,37180.27,38598.68,2407.72,2388.67,330.66,327.75,4724.68,4772.65,40.88,35.63,371.64,431.16,60.83,60.91,2990.24,2962.23,12937.56,41.11,43.63
02:27,MCS 1306,22-01-2025 17:40,81832.66,81633.98,324.09,7587.8,7996.79,130.46,127.14,77.23,5570.63,5477,17598.62,17763.31,7855.65,7919.51,975.16,964.42,3634.25,3672.47,86.75,81.47,387.48,431.49,59.53,59.77,6120.12,6085.42,28162.71 o,68.03,74.29
02:28,MCS 1307,22-01-2025 17:42,88559.94,88110.38,483.48,2097.01,2243.68,95.85,94.23,48.84,4198.31,4113.88,35603.98,36213,4093.9,4078.51,488.35,483.91,5152.26,5150.03,57.82,57.86,555.03,599.45,63.35,60.67,4682.94,4643.55,19205.02,66.7,70.98
02:29,MCS 1308,22-01-2025 17:44,74246.48,74704.11,784.87,7826.85,8414.15,80.47,78.65,23.26,2720.04,2668.5,28059.75,28831.76,3429.43,3415.61,444.68,442.19,13186.13,13559.38,46.79,43.87,282.5,356.86,159.57,165.1,2911.26,2884.62,11420.12,40.81,43.76
02:30,MCS 1309,22-01-2025 17:46,69434.2,69909.56,576.51,11847.42,12804.12,68.8,67.2,18.69,1934.51,1905.66,22527.68,23135.3,3498.24,3479.04,266.53,263.78,17962.07 o,18787.41 o,37.34,37.18,226.67,258.66,170.25,180.5,2917.4,2889.76,8640.55,32.36,34.54
02:31,MCS 1310,22-01-2025 17:48,69569.49,70123.03,673.69,12270.18,13305.46,42.44,42.26,15.69,1788.53,1764.76,23257.36,23952.09,3285.64,3267.92,243.86,241.79,18617.38 o,19554.37 o,22.95,22.49,258.19,298.78,174.89,187.24,2646.73,2622.18,8215.67,32.1,34.03
02:32,MCS 1311,22-01-2025 17:50,78277.87,77777.3,690.94,3487.78,3737.77,80.16,79.33,32.97,2913.36,2870.61,32330.55,33008.06,3708.29,3703.97,306.9,304.62,6829.19,6909.67,48.11,44.01,601.77,625.08,128.82,127.97,3763.02,3728.47,13296.79,52.5,55.82
02:33,MCS 1312,22-01-2025 17:52,68130.71,68241.19,592.38,5020.79,5418.42,81.03,79.57,27.82,2494.31,2443.26,28597.83,29910.65,3125.61,3115.14,341.71,338.93,7495.3,7614.31,42.36,41.9,626.64,668.83,120.65,122.76,3735.26,3724.45,11614.78,45.4,48.29
01:15,QC_MES_5 ppm,22-01-2025 17:54,5.19,5.14,0,5.11,5.44,0.00 u,0,0.00 u,0.51 Q,0.50 Q,5.43,5.53,4.59,4.83,5.06,5.11,5.16,5.36,0,0.00 u,5.08,4.98,0,0.00 u,5.07,5.04,0.19,0,0
01:16,QC_WCS_2.5 ppm,22-01-2025 17:56,2.58,2.59,2.46,-0.02 u,-0.01 u,2.47,2.44,2.45,0,0,24.61,26.99,0,0,2.48,2.46,-0.01 u,0.09,2.5,2.45,0.01,0.04,2.48,2.72,0,0.00 u,2.47,2.4,2.46
01:17,SJS_STD,22-01-2025 17:58,77704.2,75053.87,1016.25,19547.05,19918.15,108.32,105.5,56.32,3536.65,3461.25,20357.32,19931.67,14566.74,14517.66,566.52,554.74,11749.97,11700.64,83.81,80.25,594.56,721.08,255.83,237.83,3403.38,3367.29,18755.53,102.61,108.71
02:34,MCS 1313,22-01-2025 18:00,75126.53,74198.37,318.92,6039.2,6298.97,110.6,109.83,61.3,4933.71,4840.52,16623.13,16584.89,7357.02,7325.21,931.81,924.16,3273.82,3259.83,74.95,74.29,451.66,561.99,58.06,54.74,5785.49,5732.71,23987.72,78.91,84.79
02:35,MCS 1314,22-01-2025 18:02,75933.68,75827.27,316.99,9602.53,10101.52,135.49,134.26,77.98,5641.06,5532.62,16771.49,16890.61,7439.1,7461.8,1091.14,1082.08,4116.64,4158.64,88.86,82.77,375.1,428.66,62.89,62.71,6449.25,6403.36,30118.77 o,71.36,77.49
02:36,MCS 1315,22-01-2025 18:04,64448.69,63892.29,409.3,1965.49,2110.27,61.89,61,32.7,2907.59,2828.46,32107.82,32894.34,2770.8,2741.49,375.99,372.73,4478.16,4508.01,37.59,35.06,359.78,429.1,54.08,52.38,3105.56,3077.87,12726.56,42.13,45.2
02:37,MCS 1316,22-01-2025 18:06,47241.61,46550.57,402.4,1324.76,1439.15,57.61,55.84,18.76,1581.99,1549.13,31029.43,32505.77,1442.76,1427.76,142.81,139.87,3188.3,3246.29,28.55,27.53,206.97,250.91,56.41,55.99,2079.45,2061.32,7668.45,21.85,23.08
02:38,MCS 1317,22-01-2025 18:08,42302.07,42132.74,297.05,4193.2,4555.84,44.42,43.5,13.41,1016.22,995.49,35964.57,37610.45,1143.68,1127.69,84.24,82.64,4313.73,4334.72,19.36,19.76,145.18,197.87,51.74,53.17,1342.37,1330.4,5778.92,23.93,24.78
02:39,MCS 1318,22-01-2025 18:10,49257.61,48939.71,388.18,1396.4,1513.54,49.24,49.9,18.95,1729.28,1704.69,30302.43,31507.05,1585.29,1573.77,153.72,151.79,3144.44,3171.78,27.33,24.84,262.14,285.83,52.05,51.8,2483.93,2461.51,8141.01,24.89,26.41
02:40,MCS 1319,22-01-2025 18:12,74701.93,74590.66,431.51,2152.46,2329.91,91.58,90.38,36.88,3567.77,3481.44,31038.69,31815.34,3344.67,3326.87,283.23,278.93,3809.45,3829.33,54.09,50.91,391.29,452.51,72.99,71.17,4668.93,4650.41,16795.34,47.51,51.76
02:41,MCS 1320,22-01-2025 18:14,83368.9,83506.86,315.62,1193.19,1287.72,196.37,193.97,82.81,8134.08,7981.09,15396.39,15527.23,3849.44,3840,1074.93,1067.03,1859.97,1859.49,92.56,84.84,967.61,1035.32,39.45,37.7,9372.8,9298.94,43596.62 o,75.21,83.08
02:42,MCS 1321,22-01-2025 18:16,80773.13,80362.73,311.99,764.76,829.86,142.83,140.89,82.7,7159.75,7024.96,15220.03,15323.77,3229.67,3212.56,1205.18,1194.54,1879.81,1879.7,91.57,83.45,985.93,1035.18,36.14,34.41,9872.7,9799.36,39702.95 o,73.53,79.26
02:43,MCS 1322,22-01-2025 18:18,79741.05,79731.81,544.07,2793.17,3032.62,78.87,78.09,55.49,3837.39,3763.4,32795.6,34171.37,4671.07,4652.36,577.46,573.89,5296,5376.62,52.98,47.28,349.94,417.88,88.12,88.45,3760.94,3727.41,16122.01,49.58,53.03
01:15,QC_MES_5 ppm,22-01-2025 18:20,5.22,5.14,0,5.11,5.43,0,0,0.00 u,0.51 Q,0.50 Q,5.45,5.53,4.58,4.82,5.05,5.1,5.15,5.35,0,0,5.09,4.99,0,0.00 u,5.05,5.02,0.33,0,0
01:16,QC_WCS_2.5 ppm,22-01-2025 18:22,2.58,2.59,2.46,-0.02 u,-0.01 u,2.48,2.43,2.46,0,0,24.56,26.97,0,0,2.46,2.45,-0.01 u,0.09,2.51,2.45,0.01,0.03,2.47,2.71,0,0.00 u,2.45,2.41,2.47
01:17,SJS_STD,22-01-2025 18:24,77613.79,74975.79,1016.17,19487.9,19863.94,103.92,109.29,50.76,3551.68,3456.42,20283.28,19883.04,14574.64,14476.14,566.01,559.69,11713.02,11642.76,83.28,75.37,584.59,667.75,255.93,234.99,3404.25,3366.36,18548.79,104.81,106.07
02:44,MCS 1323,22-01-2025 18:26,61051.69,60944.96,516.16,3376.65,3661.76,76.34,75,41.87,2903.17,2835.81,31200.72,32260.1,3300.2,3292.13,450.48,445.23,3432.38,3461.93,47.01,43.13,283.99,337.44,82.47,81.87,3139.22,3109.44,12390.71,45.61,48.98
02:45,MCS 1324,22-01-2025 18:28,97817.93,97978.89,328.44,9379.33,9999.25,204.11,201.35,115.43,8469.34,8306.67,15907.31,16014.21,8446.46,8500.34,1279.36,1269.4,3733.58,3748.42,108.03,103.09,780.29,834.39,62.22,61.73,11156.71,11080.39,49858.01 o,157.98,169.72
02:46,MCS 1325,22-01-2025 18:30,83109.34,83316.57,234.05,5973.72,6377.32,203.44,199.22,94.63,8588.37,8438.98,11428.45,11528.4,5911.62,5944.12,1045.05,1034.96,2548.95,2575.72,94.02,85.77,823.19,885.43,43.16,43.44,9570.25,9506.36,54156.52 o,118.66,129.45
02:47,MCS 1326,22-01-2025 18:32,108290.29,107361.18,287.07,1233.82,1336.89,327.67,319.91,106.28,13430.21,13083.54,13199.91,13230.52,4444.3,4434.8,1437.42,1422.33,1248.98,1254.69,128.62,118.12,1212.05,1323.84,33.87,33.59,9939.64,9872.18,71127.08 o,145.05,158.76
02:48,MCS 1327,22-01-2025 18:34,68907.13,67859.57,219.24,2988.51,3142.25,183,178.98,77.61,9532.23,9284.04,10607.75,10575.93,4043.23,4004.83,808.32,800.95,1848.16,1839.38,79.34,68.65,1049.32,1147.16,35.46,33.27,7541.28,7484.37,48032.05 o,139.2,149.95
02:49,MCS 1328,22-01-2025 18:36,120882.67,121020.96,239.09,356.22,414.53,599.34,586.76,191.61,34939.98 o,34587.08 o,10331.81,10306.81,3120.25,3089.63,1826.05,1809.33,1006.69,1014.29,189.78,151.08,2077.3,2309.75,31.45,30.34,12637.08,12556.14,135369.81 o,108.1,136.64
02:50,MCS 1329,22-01-2025 18:38,94465.93,93402.84,290.85,9168.36,9740.3,243.15,238.52,107.9,10407.29,10130.01,14031.33,14013.25,8189.9,8164.02,1422.66,1410.11,3277.83,3291.76,108.63,100.41,772.95,868.33,57.27,55.44,9623.28,9562.98,54815.51 o,155.01,168.44
02:51,MCS 1330,22-01-2025 18:41,100329.61,99182.77,323.44,1579.94,1701.16,312.62,306.4,107.21,13608.53,13313.63,14423.76,14429.65,4848.48,4841.74,1908.49,1890.01,1650.15,1650.53,145.9,128.24,1100.8,1224.67,39.22,37.6,8687.02,8637.08,69049.52 o,83.67,95.94
02:52,MCS 1331,22-01-2025 18:43,110438.41,110061.25,310.22,2265.58,2443.26,207.25,203.07,103.83,10680.63,10456.3,14295.55,14384.18,6177.35,6158.08,850.09,843,2204.02,2195.87,121.12,106.07,882.1,947.66,45.9,44.92,10057.55,9997.76,58209.97 o,94.33,105.81
02:53,MCS 1332,22-01-2025 18:45,104333.7,104308.27,273.31,569.01,634.78,408.13,400.46,101.15,18330.85,18085.59,12914.01,12987.68,4237.39,4194.16,1183.39,1172.37,1344.01,1342.75,131.48,111.63,1137.77,1274.52,34.16,34.1,9551.39,9494.95,88261.64 o,74.48,89.78
01:15,QC_MES_5 ppm,22-01-2025 18:47,5.21,5.11,0,5.09,5.37,0,0,0,0.51 Q,0.50 Q,5.42,5.53,4.59,4.8,5.05,5.1,5.13,5.32,0,0.00 u,5.06,4.98,0,0.00 u,5.06,5.03,0.26,0,0
01:16,QC_WCS_2.5 ppm,22-01-2025 18:49,2.6,2.59,2.46,-0.02 u,-0.01 u,2.48,2.43,2.46,0,0,24.74,27.21,0,0,2.48,2.46,-0.01 u,0.08,2.51,2.44,0.01,0.03,2.48,2.73,0,0.00 u,2.47,2.4,2.49
01:17,SJS_STD,22-01-2025 18:51,78474.68,75112.62,1017.09,19516.39,20005.55,108.68,108.83,53.24,3552.94,3447.38,20321.56,19958.91,14622.74,14497.38,569.91,564.88,11765.19,11647.37,89.3,80.73,602.37,649.79,257.6,238.73,3429.39,3392.15,17897.69,104.07,107.64
02:54,MCS 1333,22-01-2025 18:53,75581.49,75052.09,717.57,2384.49,2591.33,86.99,85.16,29.54,2811.32,2730.39,35426.09,36951.19,2990.69,2964.57,372.61,368.89,6179.86,6236.33,45.1,43.51,371.99,424.72,122.33,121.66,3567.95,3543.17,12381.5,39.59,42.1
02:55,MCS 1334,22-01-2025 18:55,82757.8,82433.24,710.78,14934.18,16049.21,65.85,65.05,29.31,3184,3099.84,27878.61,28584.25,4058.97,4029.24,417.13,413.47,12860.84,13214.7,38.59,33.75,278.98,332.15,155.69,160.63,4201.35,4169.25,14354.37,289.69,303.8
02:56,MCS 1335,22-01-2025 18:57,74661.62,74342.73,642.64,8427.55,9120.44,76.08,74.79,27.68,2820.1,2742.11,25667.81,26378.36,3606.67,3591.43,427.62,424.12,13466.45,13874.98,40.15,38.13,324.71,364.52,155.44,158.91,3435.81,3410.2,11804.77,121.12,128.68
02:57,MCS 1336,22-01-2025 18:59,73894.03,74020.6,1436.07,2521.07,2826.67,108.08,107.19,16.81,925.81,899.6,75578.02,81529.3,1351.32,1330.12,155.11,153.31,7465.6,7523.81,52.7,48.57,257.82,309.71,215.37,225.1,1049.51,1040.64,3088.73,93.05,96.52
